Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
31-40,Female,Tier 1,Gujarat,Salaried Employee,50000-100000,Never,Online marketplaces,Authenticity,Traditional,"Jackets / shrugs, Laptop sleeves / utility pouches, Cushion covers",Sling bag,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Daily use,1000-2000,2000-4000,Above 3000,Sometimes,Buy 2 Get 1,Depends on reviews,Brand story,1,Yes,Likely
31-40,Female,Tier 1,Gujarat,Business Owner,50000-100000,Rarely,During travel,Price,Minimal modern,Laptop sleeves / utility pouches,Tote bag,Cushion covers,Moderate embroidery,Light mirror work,,Festive use,1000-2000,Above 4000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Reviews,2,Yes,Unlikely
Above 50,Female,Metro,Delhi,Freelancer,50000-100000,Occasionally,Instagram stores,Utility,Depends on product,"Gift sets, Jackets / shrugs, Laptop sleeves / utility pouches",Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Black / neutral,Office use,1000-2000,2000-4000,Below 500,No,Flat discount,No,Product images,2,Yes,Unsure
21-30,Male,Tier 2,Karnataka,Other,50000-100000,Frequently,During travel,Utility,Traditional,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Sling bag,Wall décor textile,Heavy embroidery,Strong mirror work,Pastel shades,Daily use,1000-2000,Above 4000,1500-3000,Sometimes,Buy 2 Get 1,No,Reviews,3,No,Unsure
31-40,Male,Tier 2,Karnataka,Student,25000-50000,Never,During travel,Utility,Traditional,Gift sets,Office handbag,Wall décor textile,Heavy embroidery,Strong mirror work,Black / neutral,Festive use,Above 2000,Above 4000,1500-3000,Strongly yes,Free shipping,No,Product images,5,No,Unsure
41-50,Female,Tier 3 / Rural,Delhi,Salaried Employee,25000-50000,Never,Instagram stores,Price,Minimal modern,Handbags,Tote bag,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Office use,Below 500,Below 1000,Above 3000,Strongly yes,Flat discount,No,Return policy,4,Yes,Likely
31-40,Male,Tier 3 / Rural,Delhi,Freelancer,Below 25000,Rarely,Retail stores,Brand,Traditional,"Jackets / shrugs, Laptop sleeves / utility pouches, Handbags",Clutch,Table runners,Minimal embroidery,Strong mirror work,Bright colors,Weddings,1000-2000,Below 1000,Above 3000,Strongly yes,Buy 2 Get 1,Depends on reviews,Return policy,1,No,Unsure
Below 20,Female,Tier 3 / Rural,Rajasthan,Student,Above 200000,Occasionally,Online marketplaces,Utility,Minimal modern,"Cushion covers, Jackets / shrugs, Laptop sleeves / utility pouches",Sling bag,Wall décor textile,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,Below 500,Above 4000,500-1500,Sometimes,Flat discount,Depends on reviews,Reviews,3,Yes,Unsure
21-30,Male,Tier 2,Telangana,Freelancer,Above 200000,Frequently,Instagram stores,Price,Depends on product,Laptop sleeves / utility pouches,Clutch,Table runners,Heavy embroidery,Strong mirror work,Earth tones,Weddings,500-1000,Above 4000,Above 3000,Strongly yes,Festival combo pack,Yes,Reviews,1,No,Very unlikely
41-50,Female,Metro,Karnataka,Student,Above 200000,Occasionally,Instagram stores,Design,Fusion,Handbags,Sling bag,Cushion covers,Heavy embroidery,Strong mirror work,Bright colors,Festive use,1000-2000,1000-2000,500-1500,No,Free shipping,No,Product images,1,No,Unlikely
41-50,Female,Metro,Maharashtra,Business Owner,25000-50000,Occasionally,During travel,Authenticity,Fusion,Gift sets,Sling bag,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Daily use,1000-2000,1000-2000,1500-3000,Strongly yes,Free shipping,Yes,Brand story,4,No,Likely
Below 20,Female,Metro,Maharashtra,Business Owner,100000-200000,Occasionally,Online marketplaces,Design,Traditional,"Jackets / shrugs, Cushion covers",Office handbag,Table runners,Minimal embroidery,No mirror work,Earth tones,Festive use,500-1000,Above 4000,Above 3000,Strongly yes,Festival combo pack,Yes,Reviews,1,Yes,Unsure
41-50,Female,Tier 1,Rajasthan,Other,50000-100000,Frequently,Online marketplaces,Brand,Depends on product,"Gift sets, Jackets / shrugs, Laptop sleeves / utility pouches",Clutch,Decorative organizers,Moderate embroidery,Strong mirror work,Pastel shades,Weddings,1000-2000,Above 4000,Below 500,No,Free shipping,Depends on reviews,Product images,1,No,Unsure
Below 20,Male,Tier 2,Karnataka,Homemaker,Below 25000,Frequently,Instagram stores,Brand,Minimal modern,Jackets / shrugs,Clutch,Cushion covers,Minimal embroidery,Light mirror work,Bright colors,Festive use,Below 500,2000-4000,500-1500,Strongly yes,Free shipping,Depends on reviews,Return policy,1,No,Likely
31-40,Female,Metro,Telangana,Student,25000-50000,Frequently,Online marketplaces,Price,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Earth tones,Weddings,Below 500,Above 4000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Reviews,5,No,Unsure
41-50,Female,Tier 2,Karnataka,Student,25000-50000,Never,Retail stores,Price,Traditional,"Gift sets, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Heavy embroidery,Light mirror work,Pastel shades,Gifting,Below 500,1000-2000,1500-3000,No,Festival combo pack,No,Return policy,5,Yes,Highly likely
21-30,Female,Tier 3 / Rural,Karnataka,Salaried Employee,Above 200000,Frequently,Online marketplaces,Utility,Traditional,Jackets / shrugs,Clutch,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Gifting,Below 500,Below 1000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Reviews,1,Yes,Unlikely
Above 50,Female,Tier 1,Karnataka,Other,Below 25000,Rarely,During travel,Design,Fusion,Cushion covers,Sling bag,Decorative organizers,Minimal embroidery,Light mirror work,Black / neutral,Weddings,500-1000,1000-2000,1500-3000,Strongly yes,Flat discount,Yes,Reviews,1,Yes,Very unlikely
31-40,Female,Tier 2,Telangana,Business Owner,Above 200000,Occasionally,Instagram stores,Authenticity,Minimal modern,Gift sets,Sling bag,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Gifting,Above 2000,2000-4000,1500-3000,Strongly yes,Flat discount,Depends on reviews,Brand story,5,No,Very unlikely
Below 20,Female,Metro,Gujarat,Freelancer,50000-100000,Rarely,Retail stores,Utility,Minimal modern,"Gift sets, Handbags, Jackets / shrugs",Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Pastel shades,Weddings,500-1000,1000-2000,500-1500,No,Flat discount,Depends on reviews,Brand story,2,No,Unsure
Above 50,Female,Tier 3 / Rural,Delhi,Student,Above 200000,Occasionally,Local exhibitions,Price,Minimal modern,"Handbags, Gift sets, Cushion covers",Clutch,Decorative organizers,Heavy embroidery,Light mirror work,Pastel shades,Office use,Below 500,1000-2000,1500-3000,No,Free shipping,No,Product images,4,Yes,Likely
31-40,Female,Metro,Maharashtra,Student,100000-200000,Never,During travel,Design,Fusion,Jackets / shrugs,Tote bag,Wall décor textile,Moderate embroidery,Strong mirror work,Pastel shades,Office use,500-1000,1000-2000,Below 500,Strongly yes,Buy 2 Get 1,No,Return policy,4,No,Unlikely
Above 50,Female,Tier 3 / Rural,Gujarat,Student,Below 25000,Occasionally,Local exhibitions,Price,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs, Handbags",Office handbag,Cushion covers,Moderate embroidery,No mirror work,Earth tones,Festive use,1000-2000,Below 1000,1500-3000,Sometimes,Festival combo pack,Yes,Reviews,2,No,Unlikely
41-50,Male,Tier 3 / Rural,Telangana,Other,50000-100000,Occasionally,During travel,Brand,Traditional,Laptop sleeves / utility pouches,Tote bag,Decorative organizers,Moderate embroidery,No mirror work,Earth tones,Weddings,Below 500,2000-4000,Above 3000,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,4,Yes,Likely
Above 50,Prefer not to say,Metro,Telangana,Homemaker,Above 200000,Frequently,Retail stores,Utility,Fusion,"Handbags, Cushion covers",Tote bag,Wall décor textile,Heavy embroidery,No mirror work,Black / neutral,Festive use,Below 500,Below 1000,Above 3000,No,Flat discount,Depends on reviews,Product images,2,Yes,Unsure
31-40,Female,Tier 3 / Rural,Maharashtra,Student,25000-50000,Rarely,Instagram stores,Brand,Minimal modern,"Cushion covers, Handbags",Office handbag,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Weddings,500-1000,1000-2000,Below 500,No,Festival combo pack,Yes,Brand story,5,No,Unlikely
Below 20,Female,Metro,West Bengal,Business Owner,25000-50000,Frequently,Local exhibitions,Authenticity,Fusion,"Handbags, Cushion covers, Jackets / shrugs",Office handbag,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,500-1000,1000-2000,Below 500,No,Festival combo pack,Depends on reviews,Brand story,5,No,Likely
Above 50,Male,Tier 2,Delhi,Salaried Employee,25000-50000,Frequently,Retail stores,Price,Fusion,"Laptop sleeves / utility pouches, Handbags",Clutch,Table runners,Minimal embroidery,No mirror work,Bright colors,Gifting,Below 500,1000-2000,1500-3000,Sometimes,Flat discount,No,Product images,4,No,Likely
41-50,Female,Tier 1,Delhi,Salaried Employee,Below 25000,Never,Retail stores,Authenticity,Minimal modern,Cushion covers,Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Daily use,Below 500,2000-4000,1500-3000,No,Free shipping,Yes,Return policy,3,No,Very unlikely
Below 20,Female,Metro,Tamil Nadu,Business Owner,25000-50000,Frequently,Local exhibitions,Authenticity,Minimal modern,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Weddings,1000-2000,Above 4000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Brand story,1,Yes,Highly likely
Below 20,Male,Tier 2,Gujarat,Business Owner,Above 200000,Never,Online marketplaces,Utility,Minimal modern,"Cushion covers, Handbags",Office handbag,Wall décor textile,Heavy embroidery,Light mirror work,Earth tones,Office use,1000-2000,Above 4000,Below 500,Sometimes,Free shipping,Yes,Brand story,5,No,Highly likely
Below 20,Female,Tier 2,Gujarat,Freelancer,Above 200000,Occasionally,Instagram stores,Price,Traditional,Jackets / shrugs,Office handbag,Table runners,Moderate embroidery,No mirror work,Earth tones,Office use,500-1000,Above 4000,1500-3000,No,Buy 2 Get 1,Depends on reviews,Brand story,3,No,Unsure
21-30,Male,Tier 2,West Bengal,Business Owner,25000-50000,Occasionally,Retail stores,Brand,Depends on product,"Jackets / shrugs, Cushion covers, Handbags",Tote bag,Wall décor textile,Heavy embroidery,Light mirror work,Pastel shades,Office use,500-1000,2000-4000,500-1500,Strongly yes,Festival combo pack,No,Brand story,5,No,Highly likely
21-30,Female,Metro,Karnataka,Student,Below 25000,Frequently,Online marketplaces,Design,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Clutch,Decorative organizers,Moderate embroidery,Strong mirror work,Earth tones,Office use,1000-2000,Below 1000,500-1500,Strongly yes,Festival combo pack,Yes,Return policy,5,No,Likely
21-30,Female,Tier 1,Delhi,Business Owner,100000-200000,Rarely,Online marketplaces,Design,Depends on product,Laptop sleeves / utility pouches,Tote bag,Table runners,Heavy embroidery,No mirror work,Black / neutral,Weddings,Above 2000,Above 4000,Below 500,Sometimes,Free shipping,Depends on reviews,Brand story,2,Yes,Unlikely
Below 20,Male,Tier 2,Tamil Nadu,Other,25000-50000,Occasionally,Instagram stores,Utility,Traditional,"Handbags, Gift sets",Office handbag,Table runners,Heavy embroidery,Strong mirror work,Black / neutral,Gifting,500-1000,1000-2000,Below 500,Strongly yes,Flat discount,Depends on reviews,Return policy,3,No,Unlikely
31-40,Female,Metro,Karnataka,Freelancer,50000-100000,Occasionally,Instagram stores,Authenticity,Depends on product,"Laptop sleeves / utility pouches, Jackets / shrugs, Cushion covers",Sling bag,Wall décor textile,Minimal embroidery,Strong mirror work,Pastel shades,Office use,1000-2000,2000-4000,1500-3000,Strongly yes,Free shipping,Depends on reviews,Return policy,1,Yes,Likely
41-50,Male,Tier 3 / Rural,Karnataka,Business Owner,100000-200000,Frequently,Online marketplaces,Utility,Minimal modern,"Jackets / shrugs, Handbags, Cushion covers",Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Pastel shades,Gifting,1000-2000,Below 1000,Above 3000,Strongly yes,Free shipping,No,Brand story,2,Yes,Unsure
21-30,Female,Tier 2,Telangana,Student,25000-50000,Occasionally,Retail stores,Design,Minimal modern,"Cushion covers, Laptop sleeves / utility pouches",Tote bag,Decorative organizers,Heavy embroidery,Light mirror work,Black / neutral,Daily use,Above 2000,Above 4000,Above 3000,No,Flat discount,Depends on reviews,Brand story,2,No,Very unlikely
Above 50,Female,Tier 1,Gujarat,Other,25000-50000,Rarely,During travel,Authenticity,Depends on product,"Jackets / shrugs, Handbags",Tote bag,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Weddings,500-1000,Below 1000,Above 3000,No,Free shipping,Depends on reviews,Return policy,3,Yes,Unsure
21-30,Male,Tier 1,West Bengal,Salaried Employee,50000-100000,Occasionally,Online marketplaces,Utility,Minimal modern,"Gift sets, Cushion covers",Sling bag,Cushion covers,Moderate embroidery,No mirror work,Bright colors,Office use,1000-2000,2000-4000,Below 500,Strongly yes,Festival combo pack,No,Reviews,3,No,Unlikely
41-50,Female,Metro,Tamil Nadu,Salaried Employee,Above 200000,Occasionally,During travel,Utility,Depends on product,"Cushion covers, Laptop sleeves / utility pouches",Tote bag,Table runners,Minimal embroidery,Light mirror work,Black / neutral,Festive use,Below 500,1000-2000,Below 500,No,Buy 2 Get 1,No,Return policy,1,Yes,Highly likely
31-40,Male,Tier 2,Telangana,Student,50000-100000,Rarely,Instagram stores,Brand,Depends on product,"Handbags, Cushion covers, Gift sets",Sling bag,Decorative organizers,Moderate embroidery,No mirror work,Pastel shades,Gifting,Below 500,2000-4000,500-1500,Strongly yes,Festival combo pack,Yes,Reviews,1,Yes,Highly likely
31-40,Female,Metro,Delhi,Student,100000-200000,Never,Instagram stores,Design,Depends on product,"Jackets / shrugs, Gift sets, Cushion covers",Office handbag,Cushion covers,Minimal embroidery,No mirror work,Bright colors,Daily use,1000-2000,2000-4000,Above 3000,Strongly yes,Festival combo pack,Depends on reviews,Reviews,5,No,Likely
Below 20,Female,Metro,Gujarat,Freelancer,25000-50000,Never,Instagram stores,Utility,Fusion,Laptop sleeves / utility pouches,Sling bag,Cushion covers,Moderate embroidery,Strong mirror work,Bright colors,Gifting,Above 2000,1000-2000,1500-3000,No,Flat discount,No,Reviews,5,No,Unlikely
Below 20,Female,Tier 2,Karnataka,Salaried Employee,25000-50000,Never,Retail stores,Brand,Traditional,Handbags,Clutch,Decorative organizers,Heavy embroidery,Light mirror work,Bright colors,Festive use,Below 500,1000-2000,500-1500,No,Flat discount,Depends on reviews,Brand story,1,No,Unsure
21-30,Male,Tier 2,West Bengal,Business Owner,100000-200000,Rarely,During travel,Price,Traditional,Laptop sleeves / utility pouches,Sling bag,Decorative organizers,Moderate embroidery,Light mirror work,Earth tones,Daily use,500-1000,1000-2000,Above 3000,Sometimes,Flat discount,No,Return policy,5,Yes,Likely
Above 50,Female,Tier 2,Tamil Nadu,Homemaker,100000-200000,Never,Instagram stores,Design,Depends on product,Jackets / shrugs,Clutch,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Gifting,500-1000,Above 4000,Above 3000,No,Free shipping,Depends on reviews,Brand story,2,Yes,Unlikely
Above 50,Male,Tier 2,Tamil Nadu,Other,25000-50000,Occasionally,Local exhibitions,Brand,Fusion,Jackets / shrugs,Office handbag,Wall décor textile,Heavy embroidery,Strong mirror work,Bright colors,Daily use,500-1000,Below 1000,Above 3000,Strongly yes,Festival combo pack,Depends on reviews,Brand story,2,Yes,Unlikely
41-50,Male,Tier 1,Gujarat,Homemaker,Above 200000,Occasionally,Retail stores,Design,Depends on product,Jackets / shrugs,Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Pastel shades,Daily use,Below 500,2000-4000,500-1500,Strongly yes,Buy 2 Get 1,No,Brand story,5,No,Unsure
31-40,Female,Tier 2,Delhi,Business Owner,25000-50000,Rarely,Instagram stores,Design,Traditional,"Handbags, Laptop sleeves / utility pouches",Clutch,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Festive use,Above 2000,2000-4000,1500-3000,No,Flat discount,No,Product images,1,No,Unlikely
Above 50,Male,Tier 3 / Rural,Rajasthan,Homemaker,Above 200000,Never,During travel,Brand,Traditional,"Laptop sleeves / utility pouches, Gift sets",Office handbag,Decorative organizers,Minimal embroidery,Strong mirror work,Pastel shades,Office use,Below 500,1000-2000,1500-3000,Strongly yes,Festival combo pack,Depends on reviews,Return policy,5,Yes,Unlikely
41-50,Male,Tier 1,Tamil Nadu,Freelancer,50000-100000,Never,Online marketplaces,Design,Depends on product,Jackets / shrugs,Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Pastel shades,Gifting,Below 500,Below 1000,Above 3000,Strongly yes,Free shipping,No,Reviews,5,No,Unlikely
Below 20,Male,Tier 1,Telangana,Other,50000-100000,Frequently,During travel,Utility,Minimal modern,"Laptop sleeves / utility pouches, Gift sets",Sling bag,Table runners,Moderate embroidery,Light mirror work,Earth tones,Gifting,Above 2000,2000-4000,1500-3000,No,Buy 2 Get 1,Yes,Reviews,3,Yes,Very unlikely
41-50,Male,Tier 3 / Rural,Rajasthan,Freelancer,Below 25000,Never,Local exhibitions,Brand,Fusion,"Cushion covers, Handbags, Gift sets",Office handbag,Wall décor textile,Moderate embroidery,No mirror work,Bright colors,Office use,Below 500,1000-2000,500-1500,No,Flat discount,Yes,Return policy,5,No,Unlikely
Above 50,Female,Tier 2,Tamil Nadu,Other,50000-100000,Frequently,Retail stores,Authenticity,Depends on product,"Handbags, Cushion covers, Laptop sleeves / utility pouches",Sling bag,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Daily use,1000-2000,Above 4000,Below 500,Sometimes,Free shipping,No,Brand story,3,No,Unsure
31-40,Male,Metro,Rajasthan,Student,Above 200000,Rarely,Local exhibitions,Brand,Depends on product,Gift sets,Office handbag,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Gifting,Below 500,Below 1000,Below 500,Strongly yes,Buy 2 Get 1,Yes,Product images,1,No,Very unlikely
Below 20,Male,Tier 2,Telangana,Student,50000-100000,Rarely,During travel,Price,Depends on product,"Gift sets, Laptop sleeves / utility pouches, Jackets / shrugs",Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Bright colors,Daily use,500-1000,2000-4000,500-1500,No,Flat discount,No,Reviews,3,Yes,Likely
